IO, 01, 1979050400,   , BEST,   0,  69N, 913E,  20,    0, DB
IO, 01, 1979050406,   , BEST,   0,  70N, 910E,  20,    0, DB
IO, 01, 1979050412,   , BEST,   0,  70N, 907E,  25,    0, TD
IO, 01, 1979050418,   , BEST,   0,  71N, 904E,  30,    0, TD
IO, 01, 1979050500,   , BEST,   0,  72N, 902E,  35,    0, TS
IO, 01, 1979050506,   , BEST,   0,  73N, 900E,  40,    0, TS
IO, 01, 1979050512,   , BEST,   0,  73N, 899E,  45,    0, TS
IO, 01, 1979050518,   , BEST,   0,  72N, 898E,  45,    0, TS
IO, 01, 1979050600,   , BEST,   0,  72N, 897E,  45,    0, TS
IO, 01, 1979050606,   , BEST,   0,  71N, 894E,  50,    0, TS
IO, 01, 1979050612,   , BEST,   0,  71N, 890E,  55,    0, TS
IO, 01, 1979050618,   , BEST,   0,  71N, 886E,  60,    0, TS
IO, 01, 1979050700,   , BEST,   0,  70N, 882E,  70,    0, TY
IO, 01, 1979050706,   , BEST,   0,  68N, 874E,  80,    0, TY
IO, 01, 1979050712,   , BEST,   0,  65N, 869E,  85,    0, TY
IO, 01, 1979050718,   , BEST,   0,  61N, 865E,  90,    0, TY
IO, 01, 1979050800,   , BEST,   0,  58N, 863E, 100,    0, TY
IO, 01, 1979050806,   , BEST,   0,  57N, 862E, 115,    0, TY
IO, 01, 1979050812,   , BEST,   0,  58N, 860E, 130,    0, ST
IO, 01, 1979050818,   , BEST,   0,  62N, 858E, 105,    0, TY
IO, 01, 1979050900,   , BEST,   0,  68N, 855E,  95,    0, TY
IO, 01, 1979050906,   , BEST,   0,  76N, 855E, 100,    0, TY
IO, 01, 1979050912,   , BEST,   0,  86N, 854E, 110,    0, TY
IO, 01, 1979050918,   , BEST,   0,  97N, 850E, 130,    0, ST
IO, 01, 1979051000,   , BEST,   0, 108N, 846E, 140,    0, ST
IO, 01, 1979051006,   , BEST,   0, 115N, 843E, 155,    0, ST
IO, 01, 1979051012,   , BEST,   0, 121N, 840E, 145,    0, ST
IO, 01, 1979051015,   , BEST,   0, 123N, 839E, 155,    0, ST
IO, 01, 1979051018,   , BEST,   0, 125N, 837E, 150,    0, ST
IO, 01, 1979051100,   , BEST,   0, 130N, 832E, 155,    0, ST
IO, 01, 1979051106,   , BEST,   0, 136N, 826E, 150,    0, ST
IO, 01, 1979051112,   , BEST,   0, 141N, 819E, 135,    0, ST
IO, 01, 1979051118,   , BEST,   0, 143N, 812E, 110,    0, TY
IO, 01, 1979051200,   , BEST,   0, 145N, 805E, 100,    0, TY
IO, 01, 1979051206,   , BEST,   0, 149N, 801E,  95,    0, TY
IO, 01, 1979051212,   , BEST,   0, 154N, 799E,  85,    0, TY
IO, 01, 1979051218,   , BEST,   0, 157N, 798E,  65,    0, TY
IO, 01, 1979051300,   , BEST,   0, 160N, 797E,  50,    0, TS
IO, 01, 1979051306,   , BEST,   0, 165N, 796E,  40,    0, TS
IO, 01, 1979051312,   , BEST,   0, 172N, 795E,  35,    0, TS
IO, 01, 1979051318,   , BEST,   0, 179N, 796E,  35,    0, TS
IO, 01, 1979051400,   , BEST,   0, 187N, 797E,  30,    0, TD
IO, 01, 1979051406,   , BEST,   0, 193N, 799E,  25,    0, TD
IO, 01, 1979051412,   , BEST,   0, 198N, 801E,  20,    0, DB
IO, 01, 1979051418,   , BEST,   0, 202N, 804E,  20,    0, DB
